Number of generations: 10
Total run time: 18 seconds
gen_num, champ_fit, average_fit, std_fit, champ_cppn_con, champ_ann_con, mean_genetic_dist, std_genetic_dist  
0,2.0710850061573534,0.8432001193624017,0.12432214107417763,3,14,2.0190783192876616,0.3713553277535404
1,2.0710850061573534,0.8625139645450213,0.1485089289806969,3,14,2.0063385709088095,0.39011078765468316
2,2.0710850061573534,0.9048615286874081,0.16219712362357303,3,14,1.9021019953493572,0.35032285846869166
3,2.646919146333529,0.9339009255604077,0.20690343179250917,3,12,1.8339712557434116,0.39797848205986663
4,2.646919146333529,0.9297504919875227,0.20079757625331277,3,12,1.9075743251081672,0.45092231532643795
5,2.646919146333529,0.9462742366181024,0.26376054371481084,3,12,1.9464505516107284,0.5058688227779674
6,4.01,0.9844701088175639,0.3820930178619913,3,12,1.9896231479508264,0.544219698200781
7,4.01,0.9782619556760505,0.39062403088907705,3,12,2.0793703453149157,0.45380678641091915
8,4.01,1.038449174336365,0.4821215373783494,3,12,2.159445477756274,0.5034953547771993
9,4.180292114931514,1.0751311925396105,0.5913633448202312,4,12,2.0333698763096586,0.5850859727188268
10,10.0,1.1224256065826228,0.8072652990838391,3,11,2.0007713271316194,0.5955546451905859
