Number of generations: 100
Total run time: 148 seconds
gen_num, champ_fit, average_fit, std_fit, champ_cppn_con, champ_ann_con, mean_genetic_dist, std_genetic_dist  
0,2.01,0.6474317815647169,0.1708354390992898,3,14,1.883890085754656,0.2966386393590675
1,2.01,0.7171689489361314,0.24662695573995114,3,14,1.9315873334631954,0.30332837920144357
2,2.034958138935567,0.7046652454931318,0.24364119071081344,3,14,2.0264103634732864,0.2967322886587706
3,2.034958138935567,0.7680489213626771,0.27675846236137736,3,14,1.8272089031453642,0.5160132721217998
4,2.034958138935567,0.791068399104969,0.31707415220670954,3,14,1.3211649399011076,0.3652484557194521
5,2.1704836837500094,0.7763555837806002,0.37790758982151423,3,12,1.4902550651243551,0.4418094865101023
6,2.1704836837500094,0.8001222586824449,0.3763333988071828,3,12,1.7428500749312825,0.45009223674386156
7,2.1704836837500094,0.824130241435374,0.4226658306936779,3,12,1.722897436255532,0.4032990313830966
8,2.1704836837500094,0.7930439533807115,0.4102681463223706,3,12,1.7595391451356248,0.36502867830860775
9,2.1704836837500094,0.8623495148088262,0.45956722781242015,3,12,1.9521489570173427,0.3727943223384503
10,2.2044288360686317,0.8474199680264297,0.4373914847020524,3,13,1.9983006766468643,0.35694061186282505
11,2.2044288360686317,0.9100131690026678,0.4569683578181089,3,13,1.9821698019291156,0.40787915303477057
12,2.2044288360686317,0.8892893213553504,0.440217890247507,3,13,1.8822721121512918,0.5538923107236714
13,2.2044288360686317,0.9183489279645647,0.502902714449642,3,13,1.9453662445818274,0.5006401309673827
14,2.2044288360686317,0.8922833182813159,0.46853454870178496,3,13,1.771002173262104,0.42633195690150116
15,2.2044288360686317,0.946155640056643,0.5137546854962516,3,13,1.7893340423219013,0.42209868531618217
16,2.2044288360686317,0.9165876992948337,0.5053718663517343,3,13,1.8426425869162206,0.4478334475320134
17,2.2044288360686317,0.9243232969964129,0.49039316905061,3,13,1.8272886948760114,0.4917035905164688
18,2.2044288360686317,0.8930623999200179,0.4743182026332952,3,13,1.7609169668632463,0.5081565855288533
19,2.225633196838723,0.9492029599023386,0.5240854202246779,3,12,1.670985653717756,0.5537772406268588
20,2.225633196838723,0.9075354795442337,0.49889169792536425,3,12,1.6261546602506811,0.6297012479101965
21,2.225633196838723,0.9066580151250222,0.4926425515901353,3,12,1.6576570486432995,0.6697328676068184
22,2.225633196838723,0.9217226898207943,0.48616613083376814,3,12,1.6912650903900144,0.6990714450454645
23,2.225633196838723,0.9213861854386199,0.5200080129109463,3,12,1.7483754399123812,0.6667703945460407
24,2.225633196838723,0.8836096781179645,0.49892177198504484,3,12,1.7614058503704866,0.6295724170132689
25,2.225633196838723,0.9445399254467026,0.5452673492171404,3,12,1.7863726738586971,0.628907516781313
26,2.225633196838723,0.8647299902142501,0.4972402355513268,3,12,1.7476668878284716,0.609221017430751
27,2.2640130832489938,0.8715459535705159,0.4993829797421393,3,12,1.7450440702203596,0.5539182146719973
28,2.2640130832489938,0.8836160760541562,0.5097497961947866,3,12,1.7369082773994495,0.5840578433778455
29,2.2640130832489938,0.8363349661358351,0.4694626442255566,3,12,1.7438061691655078,0.6303273690588953
30,2.2640130832489938,0.8457100925181903,0.490644538818955,3,12,1.746169827980048,0.5979876756869256
31,2.2901769139856434,0.867709663260579,0.501567097598624,4,12,1.6775831744835763,0.6118774331995537
32,2.2901769139856434,0.8857941247807251,0.5405701249048351,4,12,1.7603525921158392,0.6274648626650727
33,2.2901769139856434,0.8540551139604858,0.4919594547762838,4,12,1.8251484681243617,0.5781412816450382
34,2.2901769139856434,0.8592683997774322,0.4792008213238451,4,12,1.813279904989396,0.6232477430321659
35,2.2901769139856434,0.8501473778963065,0.4657936971603184,4,12,1.818740275842264,0.6318541033377331
36,2.2901769139856434,0.9308535920457589,0.5362012032923328,4,12,1.7682511631746254,0.6107385705018652
37,2.313569697565772,0.9080375598576454,0.5422548225528546,3,13,1.7662558517401203,0.6239352127796369
38,2.328508699835329,0.9729195727877321,0.5738434096989374,4,11,1.85694705469022,0.5765649050003047
39,2.340273621281349,0.8429549464704431,0.5112838197972503,4,11,1.838824793934042,0.5695208916523431
40,2.340273621281349,0.9433490509945542,0.5551838695621526,4,11,1.91596174518483,0.5547013362002686
41,2.345280032111809,0.9086887511686703,0.5229677365979744,4,11,1.896570040898265,0.5290577695802455
42,2.345280032111809,0.9478086916466587,0.5701422923482614,4,11,1.8865887859711037,0.4900452540300181
43,2.345280032111809,0.9158715004461364,0.5524150504478407,4,11,1.8357176283188563,0.5260254953806404
44,2.345280032111809,0.8632715506500585,0.502556682915826,4,11,1.8382459153762365,0.5653371912921735
45,2.372529444222879,0.9837719382782535,0.5886913487795998,5,11,1.9569215418940136,0.6791048782802638
46,2.372529444222879,0.97141947526787,0.6001907955671277,5,11,1.9501467568136435,0.7404340983821754
47,2.3763717204253765,0.9084329661853463,0.5541714555481269,4,10,1.8998485926470121,0.7261754945884524
48,2.3763717204253765,0.878256007205517,0.5257042749855698,4,10,1.9624297550644603,0.665052415207594
49,2.3763717204253765,0.9413085684038666,0.5508141852975994,4,10,1.9353143801168315,0.6861758665037989
50,2.43497994841537,0.9862848178355135,0.5982025586959038,4,11,1.9581159152717111,0.7023878171919616
51,2.43497994841537,0.9480858291656472,0.5865299184549276,4,11,2.043134382396874,0.6786036001488133
52,2.43497994841537,1.0021430338663313,0.5979317028216724,4,11,2.031147143757248,0.7174925815899652
53,2.43497994841537,0.9621379741504931,0.5881315100766042,4,11,2.0498704439493514,0.6922736548061923
54,2.43497994841537,0.9219007163857196,0.5753508768050791,4,11,1.988933996249577,0.6360855044777789
55,2.43497994841537,1.017658223725656,0.6244426775628558,4,11,1.9871464725795436,0.6233866142813126
56,2.43497994841537,0.9968690744390584,0.6035399287723552,4,11,1.9347988591902345,0.6457402621183677
57,2.43497994841537,1.084726401425105,0.6585970605663917,4,11,1.8623254261864153,0.7291142676928564
58,2.4733937033278672,1.0456519456198126,0.6180442436563366,3,8,1.8163348072060832,0.6629688279578233
59,2.4733937033278672,0.9714301890079261,0.5954671251447735,3,8,1.9118728002613723,0.6779037342491859
60,3.337690889369674,0.9982916018878832,0.6339344945936156,3,7,2.002596983563588,0.6907702421161117
61,3.337690889369674,0.9946237682313752,0.6348612409988601,3,7,1.9998739161726957,0.6533126471614693
62,3.337690889369674,1.0517059347621627,0.6723952933586791,3,7,1.987375743432368,0.6554671602932387
63,3.337690889369674,1.053608436885295,0.6399560376409411,3,7,2.0613421460793413,0.6429328388254105
64,3.337690889369674,1.0491757322538304,0.6732929133574979,3,7,2.035182673457464,0.6613772459487449
65,3.337690889369674,1.0237665971726986,0.6772291653569776,3,7,2.108058181110367,0.6466288496152808
66,3.337690889369674,0.9585451710916885,0.6189887121835466,3,7,2.0381888394898797,0.6175517492494049
67,3.337690889369674,0.9455892113795931,0.604908542258289,3,7,2.0349632634600856,0.6306526855843565
68,3.337690889369674,0.9980037409530962,0.6354215455859035,3,7,2.1197129806535018,0.6035676350662448
69,3.337690889369674,1.0661851530076878,0.6724408851225402,3,7,2.1761863654811577,0.5590316751523283
70,3.337690889369674,0.997145317626674,0.6485740068364737,3,7,2.1711206619413708,0.6755448793824673
71,3.337690889369674,1.0606143458082966,0.690313447195572,3,7,2.1652971367746945,0.6977207779113072
72,3.337690889369674,0.9692372160285279,0.6344551570510455,3,7,2.143420228416675,0.7216686874332553
73,3.337690889369674,0.9157356364529063,0.5836218027118405,3,7,2.1413115883316682,0.778521853490197
74,3.337690889369674,0.9893733971422985,0.6333117180715342,3,7,2.1635249719201086,0.7615555526775786
75,3.337690889369674,0.9713485546643267,0.6139691832938885,3,7,2.1308368965497473,0.7527800926570842
76,3.337690889369674,0.9428572452039836,0.6093903334312711,3,7,2.119376589833412,0.7602076664374217
77,3.337690889369674,0.9396385291261355,0.6021877613807126,3,7,2.079616689770274,0.7882557153646786
78,3.337690889369674,1.010796738859162,0.6424683820138939,3,7,1.72376086524046,0.522058739752911
79,3.337690889369674,0.8198953612335071,0.4896208139950419,3,7,1.9397871044824295,0.35778289622369813
80,3.337690889369674,0.9226130717372538,0.5464532792935485,3,7,1.899678597021761,0.3466909495752339
81,3.337690889369674,0.8262923862157259,0.5015532449591108,3,7,1.9411139368327126,0.41824345029894766
82,3.337690889369674,0.8681130407039741,0.5457536763286538,3,7,1.9726869645036664,0.3779576334402097
83,3.337690889369674,0.944231542361509,0.5966743803266542,3,7,1.982104324017342,0.4072620151628121
84,3.337690889369674,0.8706059259415869,0.5218208900958505,3,7,2.056063930065457,0.389113203333814
85,3.337690889369674,0.865329077160422,0.5185320281501304,3,7,2.029969566988032,0.3893360816466233
86,3.337690889369674,0.8792404194035173,0.5446942822368547,3,7,2.0843597717058437,0.3940671615946775
87,3.337690889369674,0.8987622027056072,0.5196928154457482,3,7,2.3792292312675656,0.5406054285066748
88,3.337690889369674,0.9302512651222271,0.5873525045835042,3,7,2.2892735139653113,0.5998419550108516
89,3.337690889369674,0.9312763412954422,0.5743816199226989,3,7,2.1797806722773987,0.5001690444209557
90,3.337690889369674,0.9098105556651771,0.5547448919073875,3,7,2.090405470980639,0.6352963753654757
91,3.337690889369674,0.9910942807935418,0.6472769226247164,3,7,2.040496860871824,0.660550149659156
92,3.337690889369674,0.9422538317602543,0.5896171205607954,3,7,2.0571437061859834,0.7097435796409018
93,3.337690889369674,0.8977485709627059,0.5206988408149655,3,7,2.061259298846403,0.6768228866504781
94,3.337690889369674,0.8805552492201771,0.5310909331168842,3,7,2.071716253175813,0.7223556241512861
95,3.337690889369674,1.0038471350659706,0.6146122590209947,3,7,2.003828766687604,0.6639723527843159
96,3.337690889369674,0.942961632487239,0.5577055352902344,3,7,2.08396574315665,0.5739654391817947
97,3.337690889369674,0.98221935546122,0.6084181487223037,3,7,2.150465540465971,0.5335895663105967
98,3.337690889369674,0.9845004156833054,0.6010913642889736,3,7,2.108284124158022,0.5691368264913629
99,3.337690889369674,0.9584493945895916,0.56846077601328,3,7,2.041448066815289,0.5308481204248389
