Number of generations: 10
Total run time: 30 seconds
gen_num, champ_fit, average_fit, std_fit, champ_cppn_con, champ_ann_con, mean_genetic_dist, std_genetic_dist  
0,1.132559667787872,0.6033113186843806,0.1583625711347951,3,14,1.9133236997083225,0.30731349766403304
1,1.7652352902573964,0.6900508600246223,0.20902820238399591,3,13,2.056348218067453,0.30666629063494155
2,2.01,0.7288071605550924,0.24769675364772148,4,15,2.011998032774913,0.36932274383268066
3,2.177290333139429,0.7675509834413627,0.3256032630813822,3,13,1.8262695833877487,0.32829290094870706
4,2.2802179714619566,0.8399525857046458,0.4059574363493752,3,14,1.7433220682116288,0.3828060701056907
5,2.2802179714619566,0.848165700160906,0.44043429751313323,3,14,1.815165559066734,0.3478432023485111
6,2.2802179714619566,0.839245171478543,0.4292665695953152,3,14,1.7694609547581475,0.33078937556763666
7,2.2802179714619566,0.8220175921320741,0.42883240604641293,3,14,1.7046921765283771,0.34242793682321443
8,2.357134891818596,0.7662145745099176,0.39780453015794126,3,11,1.5904201572834646,0.3839559114534618
9,2.357134891818596,0.8882740738825718,0.4645940992628878,3,11,1.6973175118203065,0.4098806048300881
