Number of generations: 30
Total run time: 45 seconds
gen_num, champ_fit, average_fit, std_fit, champ_cppn_con, champ_ann_con, mean_genetic_dist, std_genetic_dist  
0,0.751308166781479,0.5723693964946562,0.06916247334326692,1,5,1.1814739855500647,0.39303220942737294
1,1.211533176804365,0.6194630433280642,0.11314167090332518,1,4,1.4403194638415706,0.40132543541074134
2,1.211533176804365,0.6189713136318804,0.11803533169138365,1,4,1.6266576659185288,0.40379805382554484
3,1.211533176804365,0.6339011383404659,0.11325395366015122,1,4,1.7290228493844917,0.3744099615811843
4,1.211533176804365,0.6366904596138417,0.11405872221394972,1,4,2.013749168346956,0.5388291244330918
5,1.211533176804365,0.6450506085684942,0.12230386718029362,1,4,2.32022978304277,0.7426682706842327
6,1.211533176804365,0.6400717110530895,0.1194753739796175,1,4,2.375149117022736,0.757897494508897
7,1.211533176804365,0.6325639011704128,0.11708910018264929,1,4,2.419982235619029,0.6697961539364576
8,1.211533176804365,0.6381081903876386,0.11971596837451748,1,4,2.4968264353048544,0.7268210022033114
9,1.211533176804365,0.6420526002060827,0.12483151883359057,1,4,2.5063254837771125,0.6350216887880336
10,1.211533176804365,0.6340277002167145,0.1269318305480309,1,4,2.4586280188620018,0.587843944733056
11,1.211533176804365,0.6280618861587429,0.12849394468588665,1,4,2.436534994209878,0.6379665361686088
12,1.211533176804365,0.6473976795433025,0.13701968692125313,1,4,2.3548097639271166,0.6321478544195615
13,1.211533176804365,0.6288680131941513,0.13294675960798935,1,4,2.2885749575194025,0.6161211991638682
14,1.211533176804365,0.6348149388895673,0.13622285075558377,1,4,2.267564157789732,0.6373296027270332
15,1.211533176804365,0.6336178818641726,0.12867992667710104,1,4,2.34048605618392,0.6263846843370947
16,1.211533176804365,0.6195207696992743,0.1179042228416931,1,4,2.2756132971091874,0.604147341904355
17,1.211533176804365,0.6275694027448341,0.11738642242120416,1,4,2.348860702184212,0.5078001243788243
18,1.211533176804365,0.6141316029110168,0.11434651901203892,1,4,2.316185024953083,0.5789930322179472
19,1.211533176804365,0.6273262267165416,0.1203487941056762,1,4,2.3218540733947686,0.5483911547151205
20,1.211533176804365,0.6376988310815225,0.12367170965745508,1,4,2.3862484043197645,0.6961491432080551
21,1.211533176804365,0.6320869944744635,0.11960061613858897,1,4,2.606018255295907,0.7106915223279179
22,1.211533176804365,0.621625313467981,0.12204369433917024,1,4,2.530130638508955,0.6807310800006804
23,1.211533176804365,0.6339131134149608,0.12578696800501699,1,4,2.492583510807018,0.6723269662009971
24,1.211533176804365,0.631224086122186,0.1283599782777805,1,4,2.413321722057953,0.696236008913545
25,1.211533176804365,0.643313252732504,0.12304302753137973,1,4,2.373910750095092,0.6761795344093652
26,1.2761498438477363,0.6156047091765596,0.1257652896901229,1,4,2.404335273589802,0.8061002260017879
27,1.5547014112601296,0.6415822103805107,0.14899659345948357,2,4,2.4425982781253124,0.7504471402462521
28,1.5547014112601296,0.6265596551096054,0.14626930961352627,2,4,2.4612388558050062,0.7027143407908414
29,1.5547014112601296,0.6310772005613767,0.1448851038904302,2,4,2.548954005533065,0.69052426517145
