Number of generations: 150
Total run time: 253 seconds
gen_num, champ_fit, average_fit, std_fit, champ_cppn_con, champ_ann_con, mean_genetic_dist, std_genetic_dist  
0,0.788424983950402,0.6068593392065664,0.09277591014402037,1,5,1.3065938678674496,0.4540967550376314
1,0.8501089366728561,0.6732149863011814,0.11390201832915355,1,5,1.6743474561566278,0.7415541991485933
2,0.8622357295555009,0.6594568543977022,0.12091794120605975,2,6,2.243094322635171,0.8648652998434916
3,0.8622357295555009,0.6459883116617882,0.11062945244439287,2,6,2.2428134067571524,0.7928102341548431
4,1.01,0.6787961824714995,0.1167163360089972,2,7,2.250320125750948,0.7285356024267301
5,1.01,0.6920828595890225,0.1152900522713167,2,7,2.2243130475416817,0.6864598960904449
6,1.01,0.658279976415175,0.1292824001465066,2,7,2.281311295380311,0.6463025138388249
7,1.2266005922533882,0.6812474940452844,0.12782068461851256,1,5,2.5236287519074425,0.8650716671107921
8,1.2266005922533882,0.6784268082054483,0.13433516218590072,1,5,2.617449576625252,0.9839250304592033
9,1.2266005922533882,0.6959939831468899,0.13645506394837278,1,5,2.6241293742644016,0.9867021775576246
10,1.2266005922533882,0.6729232892872555,0.14027533695568117,1,5,2.6738169852987204,0.9420545048280762
11,1.2266005922533882,0.6780631214410511,0.133658937645019,1,5,2.6362304476254184,0.9471610865998424
12,1.2266005922533882,0.6968940552443276,0.13539581827139638,1,5,2.698786705882739,0.964380807315357
13,1.2266005922533882,0.6844122299357991,0.14701091361546048,1,5,2.8392278021668473,1.0933031635375745
14,1.2266005922533882,0.6723392072585032,0.13995229884663332,1,5,2.7370508730194585,0.906142176731478
15,1.5571801636521567,0.6984740539577052,0.15382512013413,2,5,2.785940663642092,0.9850516194251419
16,1.5571801636521567,0.6789396790185049,0.15472171373078844,2,5,2.693346347309964,1.0960580596092624
17,1.5571801636521567,0.6699251088772167,0.16584609363237698,2,5,2.5469603830499468,0.9738272374763619
18,1.5571801636521567,0.6773401543623702,0.1553488514025044,2,5,2.632512808674405,0.9452978962161719
19,1.5571801636521567,0.6886415515803745,0.15517433444252826,2,5,2.5099120793086187,0.8842724225866564
