Number of generations: 10
Total run time: 14 seconds
gen_num, champ_fit, average_fit, std_fit, champ_cppn_con, champ_ann_con, mean_genetic_dist, std_genetic_dist  
0,0.8816507947057565,0.5975347106007508,0.08754698108924247,1,5,1.8810237793247915,0.5413438947877912
1,1.5458777150430476,0.6521416052950848,0.13363560122885637,1,4,2.03184272413757,0.5626199888740311
2,1.5458777150430476,0.6616880262232063,0.13783931992665865,1,4,2.074783497038828,0.5572810138068147
3,1.5458777150430476,0.6530638388439391,0.13515217161165247,1,4,2.1176535467678077,0.6308146284024717
4,1.5458777150430476,0.6488833780071382,0.1353834664096127,1,4,2.1683543132837944,0.6094207936368511
5,1.5458777150430476,0.6555190486365111,0.13691192588815287,1,4,2.193925410982992,0.5721698990303543
6,1.5458777150430476,0.6552527462593097,0.14798837275367482,1,4,2.0640620710911532,0.5397036487627367
7,1.5458777150430476,0.6465518812024602,0.13962984020375374,1,4,2.241578969467726,0.6460027703710424
8,1.5458777150430476,0.6578169053051581,0.14243086390575388,1,4,2.418311095110554,0.7002729272463448
9,1.5458777150430476,0.6565074721981762,0.14603240568396786,1,4,2.452862421521049,0.8201530922499457
