Number of generations: 10
Total run time: 11 seconds
gen_num, champ_fit, average_fit, std_fit, champ_cppn_con, champ_ann_con, mean_genetic_dist, std_genetic_dist  
0,1.104268844137986,0.6261263285100035,0.14687185356170304,3,14,1.7500617537649554,0.2665140833698799
1,1.5631368403609036,0.7010803705856476,0.18176273533357434,3,13,1.6986499767624221,0.42237452212388527
2,2.01,0.724695883790168,0.22540185887313002,3,13,1.8631754042367243,0.3958994161049544
3,2.01,0.7075720762856211,0.22725626720706077,3,13,1.9364946010154962,0.3992449712979895
4,2.01,0.7344136111285523,0.26306073468119145,3,13,2.0416862910847806,0.4413314272481757
5,2.01,0.7151903283435868,0.23432769896887967,3,11,1.8588180910156655,0.4114047965385688
6,2.01,0.7613800531898526,0.23167948962558005,3,11,1.9372499705691075,0.3945906888681189
7,2.01,0.7289535896312257,0.2270830209090799,3,11,2.1131354095920267,0.4715754615247295
8,2.195769747858042,0.7720943803368018,0.2504420838918297,3,13,2.1565253722701625,0.45817664498205907
9,2.301862547998199,0.758203041233808,0.30621250179892007,3,13,2.0724231274792566,0.49210568186131404
