Number of generations: 500
Total run time: 1959 seconds
gen_num, champ_fit, average_fit, std_fit, champ_cppn_con, champ_ann_con, mean_genetic_dist, std_genetic_dist  
0,0.5572107700312887,0.5572107700312894,6.661338147750939e-16,0,2,0.5326633165829145,0.1846861855873068
1,0.7878867228343016,0.5595175295593195,0.022951967508159747,1,3,1.128984063745021,0.8130214861160576
2,0.7878867228449581,0.5943036203240821,0.08272179955840359,1,4,1.840516832622087,1.0755639083160164
3,0.7885616275800486,0.7261530128774437,0.10178862860170654,1,5,1.9583878589603685,1.3047169789064281
4,0.7885616275800486,0.6950759433100981,0.11065019993038902,1,5,1.8269083969465647,1.2764354366344302
5,1.3131560542010134,0.7198934063691489,0.1360660138491271,1,4,1.9153405409782907,1.2394551866445842
6,1.3131560542010134,0.6893786506765376,0.1470135142468079,1,4,1.992322643343031,1.1295796396152071
7,1.3131560542010134,0.6948470758012532,0.13701762106576323,1,4,1.9880357749623676,1.1820943655640754
8,1.3131560542010134,0.6997407070130417,0.1384727754995034,1,4,2.063618270957706,1.1390951505639146
9,1.3131560542010134,0.6800012785096358,0.14904051962013076,1,4,2.028616733815507,1.1263533090891622
10,1.3131560542010134,0.7065316327529664,0.16708422047790036,1,4,2.0281681309968715,1.1159409134306923
11,1.3131560542010134,0.722435613891329,0.16420216205817242,1,4,2.0353684287170504,1.0950256790705741
12,1.3131560542010134,0.7206795298926311,0.15755254613649045,1,4,2.0624557060336954,1.036249468997616
13,1.3131560542010134,0.6832969495412909,0.15658038794528203,1,4,2.160933783140874,1.0509440079080643
14,1.3131560542010134,0.6908140114023695,0.15238611899469912,1,4,2.006316985483663,1.0561426038659565
15,1.3131560542010134,0.6849206154506073,0.16196023436362886,1,4,2.003357073622228,1.0594854778362315
16,1.3131560542010134,0.6716205071169665,0.14639898681284516,1,4,2.147818035156536,0.8887793871042202
17,1.3131560542010134,0.7022964628033774,0.15909960120837097,1,4,2.105318423370924,0.8877526588785406
