Number of generations: 10
Total run time: 119 seconds
gen_num, champ_fit, average_fit, std_fit, champ_cppn_con, champ_ann_con, mean_genetic_dist, std_genetic_dist  
0,0.8040660866569752,0.5718851757214352,0.05568643189928193,1,5,0.27226908721737114,0.1429281715377658
1,1.0364999149686063,0.6100059358327834,0.1031312819719449,1,5,0.3313589039498467,0.17242757101770856
2,1.1361050300079212,0.6447178192516148,0.12737875031710702,1,5,0.3157665000763129,0.14028670127673315
3,1.3254143975384154,0.6546017212952904,0.13634957602429518,1,5,0.33393777625665927,0.1513676777041595
4,1.3254143975384154,0.6614689954733182,0.14670807672221772,1,5,0.31808400229747646,0.12304114544527193
5,1.6980172114231995,0.660398365307988,0.16665538549861308,1,5,0.29627400837561074,0.118213469713241
6,2.2506037029175463,0.6772013529907746,0.21120298537572635,2,6,0.3206605765807861,0.15437325539287033
7,2.2506037029175463,0.6751534200029939,0.2210663038241576,2,6,0.37149767671981665,0.18841430642539733
8,2.2506037029175463,0.6723453105112214,0.22547853622862293,2,6,0.38534659333459265,0.1684813908879899
9,2.2506037029175463,0.6740146400075461,0.22779361145601495,2,6,0.4327099755265658,0.18865723203872817
