Number of generations: 50
Total run time: 68 seconds
gen_num, champ_fit, average_fit, std_fit, champ_cppn_con, champ_ann_con, mean_genetic_dist, std_genetic_dist  
0,1.0657888379119174,0.6354422900353378,0.14950396564744683,3,14,2.015281529633184,0.4914767697521633
1,1.384541611707421,0.7189823686448796,0.1710555086771469,3,14,1.901521534671462,0.4412088734292212
2,2.1473214999991943,0.7459788200848164,0.21056957789581932,3,14,1.9126270392676696,0.3749819962088606
3,2.1473214999991943,0.7255065637389932,0.23090953525775007,3,14,1.8178995377079066,0.374689022986287
4,2.1473214999991943,0.7358794063052495,0.27184832914648405,3,14,1.8192639443916712,0.3907495294560067
5,2.1473214999991943,0.7459546231070319,0.2588487800693307,3,14,1.8011020160957747,0.3923506472653232
6,2.1473214999991943,0.7526422234486563,0.2955488660410237,3,14,1.81869193566666,0.3558582925850251
7,2.1651382483931787,0.7965264854453313,0.35699883327710563,3,11,1.968425625840099,0.3514978296127155
8,2.253490247173847,0.8286729237819596,0.40139183766272857,3,12,2.1781525614379667,0.30416692763385017
9,2.253490247173847,0.839893024761935,0.37433270251187123,3,12,2.1066949844975866,0.39150829964274675
10,2.253490247173847,0.8288727537759296,0.40763343039320216,3,12,1.8878677918029625,0.3916669486937863
11,2.3463410219754453,0.8121745710762395,0.3797999223728902,4,10,1.8038084179795884,0.406717583043707
12,2.3463410219754453,0.8669832064696943,0.4008320524648905,4,10,1.5969647232012354,0.3638225495238838
13,2.3463410219754453,0.8330627729400839,0.4094805938110245,4,10,1.596228578442686,0.4177074470087372
14,2.3463410219754453,0.8624703418891831,0.43233277688773597,4,10,1.659630641137182,0.4337539109097083
15,2.3463410219754453,0.8536384348985596,0.4303401045602473,4,10,1.6771892075178032,0.37068906254872835
16,2.3463410219754453,0.8086975262736311,0.4061991489724551,4,10,1.6977408662700721,0.37090354068349696
17,2.3463410219754453,0.8751417637958103,0.4508784438464671,4,10,1.7306871581650387,0.38262165307146984
18,2.3463410219754453,0.8356864343708845,0.420220657862757,4,10,1.78395152619265,0.479593520992595
19,2.3463410219754453,0.8334683699238824,0.47298293286724524,4,10,1.8063384241027083,0.47686233136298906
20,2.3463410219754453,0.8698232564823201,0.4935075680162132,4,10,1.7909679675526808,0.4641977776014173
21,2.3463410219754453,0.8616501980730532,0.4978737966177865,4,10,1.7349435135918563,0.46207639322308025
22,2.3463410219754453,0.8655903369039136,0.5195134669938827,4,10,1.6610693421224907,0.41562371275998927
23,2.3463410219754453,0.8389011097915275,0.4986569259729793,4,10,1.6569309858141903,0.5006407232307235
24,2.3463410219754453,0.8895249432715246,0.5146822601499544,4,10,1.6943616491484284,0.5674160508160789
25,2.3463410219754453,0.8915629554823877,0.48467022124362685,4,10,1.7973477591334523,0.5486568220975013
26,2.3503797333676033,0.935763772684507,0.5647539663317892,4,12,1.8443818054860972,0.5117044052646856
27,2.3595406657409335,0.9647151046892011,0.5586656206796413,3,7,1.8856462811403278,0.5971254179249071
28,2.3595406657409335,0.904430815179066,0.5320815293464347,3,7,1.919476511808001,0.6578921990939816
29,2.367713622424529,0.8953060857022417,0.5410342916629954,3,11,1.9564221308029381,0.7100298373261501
30,2.367713622424529,0.9169391728682994,0.542274735852535,3,11,2.046653135058447,0.7562843803266429
31,2.367713622424529,0.9259878915424207,0.5439801197981665,3,11,2.0156500207564183,0.7470070846194751
32,2.367713622424529,0.958285444404,0.5985319987997523,3,11,1.9825669120984935,0.7386143361461951
33,2.367713622424529,1.0208401969240173,0.6336970298711398,3,11,1.9935415122162703,0.8126314513413171
34,2.367713622424529,0.9070233553817206,0.5665813772071798,3,11,2.07974012811608,0.7447051153209748
35,2.3713777053839094,0.9794492839062298,0.6077774360111423,3,8,2.0471331313881054,0.7328882304184308
36,2.3713777053839094,0.9457902625528666,0.5719312673262098,3,8,2.0037421957190915,0.7710735493337548
37,2.3713777053839094,0.9342118694035261,0.6096548052360738,3,8,1.931465961541854,0.7264634789180727
38,2.3713777053839094,0.9320509434985376,0.574817925486106,3,8,2.2098946447704724,0.6822040339499682
39,2.3713777053839094,0.9350924178514297,0.5673618435751379,3,8,2.1909478231434694,0.6612857758825019
40,2.4207708916533113,0.918523299771496,0.5564354624089727,3,7,2.0362166832732314,0.6427276873701574
41,2.4207708916533113,0.9349732669835257,0.5757307865356543,3,7,1.9788388463377995,0.6202924170305665
42,2.4207708916533113,0.9545136639802145,0.6043358481414752,3,7,1.947481925893945,0.6718156567333353
43,2.4207708916533113,0.9662232048725317,0.5892870630745243,3,7,2.01191966412925,0.7375339405904854
44,2.4207708916533113,0.9914873069814318,0.6089009716531008,3,7,1.9672851372913216,0.7664530622236575
45,2.4207708916533113,0.9835782251743074,0.6309531892172026,3,7,2.018400483970056,0.729218880801127
46,2.4207708916533113,1.0604657964383497,0.6147488292578094,3,7,2.1698268732390624,0.7581387295865645
47,2.4207708916533113,0.9641392283000748,0.5899455668983289,3,7,2.1731296557277813,0.7980499990983055
48,2.4207708916533113,1.0321393627647857,0.6179228063298277,3,7,2.133193629393963,0.9243677286176621
49,2.4207708916533113,1.0367945993762056,0.6298419336076782,3,7,2.125481644011608,0.9070573414651851
