Number of generations: 150
Total run time: 266 seconds
gen_num, champ_fit, average_fit, std_fit, champ_cppn_con, champ_ann_con, mean_genetic_dist, std_genetic_dist  
0,1.1804527464781431,0.8681605348637066,0.23184451343445422,0,1,0.567001675041876,0.22659546496597519
1,1.180452746560764,0.9210887496115748,0.20649477682231857,0,1,0.6214405360134005,0.3052094533182084
2,1.180452746560764,0.8998627316381753,0.22276885914678604,0,1,0.7211055276381909,0.4385411905381196
3,1.1804527513760092,0.9414790540570003,0.1854624840005888,0,1,0.6038525963149078,0.30723494165230897
4,1.208791287437933,0.8623855665685793,0.24211387979526341,0,1,0.5845896147403685,0.25497251728587705
5,1.208791287437933,0.917342883582916,0.21150112493847964,0,1,0.6088777219430486,0.314939612249875
6,1.208791287437933,0.8618067827323285,0.24897658065530223,0,1,0.6599664991624793,0.39134594159414077
7,1.208791287437933,0.8715290424437258,0.231998722607952,0,1,0.7311557788944725,0.4524741263646118
8,1.208791287437933,0.9015116278493663,0.2035220886163723,0,1,0.5979899497487439,0.2836044262450081
9,1.208791287437933,0.9292039637644847,0.19503561480635664,0,1,0.5713080168776372,0.25761178269385393
10,1.208791287437933,0.8799071789897238,0.22876759103119326,0,1,0.6046901172529315,0.3461687919270442
11,1.208791287437933,0.9081262509651316,0.19759567706799352,0,1,0.628140703517588,0.2902103710893801
12,1.208791287437933,0.9157664179678342,0.19501052692980914,0,1,0.5772151898734177,0.2037306282403113
13,1.208791287437933,0.9327584643998845,0.1964163767834776,0,1,0.646566164154104,0.26552980225339606
14,3.011301320299678,0.9392648092934935,0.2994560885150628,0,1,0.6365159128978225,0.2515966427219741
15,3.011301320299678,0.9643441067172702,0.2701642575392458,0,1,0.754606365159129,0.41731072332633357
16,3.011301320299678,0.903557262396796,0.31365775998731193,0,1,0.6867671691792295,0.33272673609112646
17,3.011301320299678,0.940960385692128,0.29365611627048416,0,1,0.6398659966499163,0.27425709799525616
18,3.011301320299678,0.8845498984413063,0.32372042829685094,0,1,0.6314907872696819,0.30925056616498053
19,3.011301320299678,0.8890105290996222,0.3233267276033345,0,1,0.5871021775544389,0.24145018352264572
20,3.011301320299678,0.9133423631958307,0.31893926920442534,0,1,0.5795644891122278,0.2614353502864542
21,3.011301320299678,0.911817633166423,0.3477463778698339,0,1,0.6222780569514239,0.3635554816452421
22,3.011301320299678,0.8884607047050188,0.3472837858995967,0,1,0.6884422110552764,0.4380370620917431
23,3.011301320299678,0.8704662993616182,0.3558926066983992,0,1,0.623115577889447,0.3404623052286664
