Number of generations: 20
Total run time: 128 seconds
gen_num, champ_fit, average_fit, std_fit, champ_cppn_con, champ_ann_con, mean_genetic_dist, std_genetic_dist  
0,0.5572107700312887,0.5572107700312885,2.220446049250313e-16,0,4,0.6203740814963262,0.3148510944162462
1,0.7878868915887752,0.5651451809130645,0.042407904751162864,1,5,1.4426177752330016,0.5719435841577315
2,1.01,0.6404075281644795,0.11267211150987187,1,6,1.7660893215001572,0.2898734238823363
3,1.1123225387184728,0.6784464208833002,0.12493754357340774,1,6,1.802038131096256,0.25436537370469026
4,1.3314594830567184,0.6621763986165204,0.14286888037488246,1,6,1.8232369500906676,0.2862612025540265
5,1.4866097817440385,0.6839561053529406,0.166901523527404,1,5,1.8518075834208223,0.2975007620519282
6,1.4866097817440385,0.6814863519611196,0.16951595604498249,1,5,1.825655278811605,0.29337517490084575
7,1.6252284439251459,0.690298116570616,0.19531992776543633,2,8,1.870638101600038,0.2711934577632986
8,2.01,0.7186976943398019,0.23545104319014046,1,5,1.861617679804066,0.2910253852766491
9,2.01,0.7169263209823804,0.23370167492944668,1,5,1.8512665301743545,0.2811244483517582
10,3.236908709321524,0.7237529194395687,0.287621235472809,1,4,1.9180114196647369,0.31977089759110194
11,3.5103100671905847,0.7375236785888748,0.34701182479722864,1,4,1.8676320895759897,0.38458361867050084
12,4.01,0.7567180015720898,0.43594610025056413,1,5,1.9275300601202554,0.3186758590050155
13,4.01,0.7783274651873316,0.4796172538716028,1,5,1.8866920348633804,0.3015748162243068
14,4.01,0.8067184868366453,0.5083116526569685,1,5,1.797752648153461,0.3162550757985709
15,4.01,0.8212622631040408,0.5522691356893318,1,5,1.854010401755903,0.32267036588130366
16,4.01,0.829539847358952,0.5805051929017552,1,5,1.8961446702929734,0.3330958292445178
17,4.01,0.8362469178795052,0.5952140298593075,1,5,1.9050601202404884,0.3149256575699574
18,4.01,0.8350542765052476,0.5969393461025344,1,5,1.6949788359788382,0.5001201081629818
19,4.01,0.8504105172763994,0.6365680939381383,1,5,1.4723743718592968,0.5423230112825044
